Id,Predicted
4,2545.701171875
6,2553.489501953125
8,2602.18994140625
9,2507.462890625
11,2510.8798828125
15,2522.916259765625
19,2392.2119140625
20,2445.177734375
32,2451.68408203125
33,2442.52734375
40,2606.140625
42,2438.366943359375
46,2553.463134765625
50,2546.410400390625
57,2551.05517578125
59,2489.71875
66,2597.431396484375
73,2531.370849609375
78,2455.519775390625
91,2488.236083984375
93,2606.140625
101,2394.777587890625
102,2569.435791015625
106,2574.07568359375
111,2546.3916015625
113,2395.001708984375
114,2581.177978515625
118,2605.746826171875
119,2606.48779296875
126,2543.862548828125
127,2404.352294921875
138,2450.8974609375
143,2490.4462890625
145,2575.93701171875
148,2593.224365234375
151,2472.216064453125
153,2506.06884765625
157,2634.40380859375
159,2489.39306640625
165,2447.55712890625
170,2425.86328125
171,2492.896240234375
173,2436.39453125
177,2532.718017578125
183,2512.793212890625
199,2566.2978515625
225,2550.100341796875
231,2498.22509765625
232,2549.926025390625
233,2382.41162109375
238,2647.254150390625
244,2623.0947265625
245,2502.7939453125
247,2497.6923828125
248,2445.153076171875
250,2439.575439453125
254,2526.79833984375
255,2556.103515625
256,2589.097900390625
257,2419.935302734375
258,2346.022705078125
259,2463.55908203125
263,2415.744140625
266,2452.66796875
267,2434.922119140625
273,2597.920654296875
274,2551.313232421875
276,2539.390625
285,2577.86865234375
286,2607.189453125
288,2388.875732421875
299,2553.621337890625
305,2582.21923828125
307,2568.56787109375
312,2595.185302734375
314,2553.621337890625
315,2474.635986328125
316,2534.732177734375
323,2601.862548828125
326,2557.82373046875
327,2435.872802734375
329,2675.631591796875
330,2535.69384765625
331,2461.659423828125
333,2507.65380859375
336,2602.734130859375
337,2476.209228515625
338,2499.72900390625
340,2552.30078125
344,2551.753173828125
346,2531.074951171875
349,2477.55126953125
350,2534.606689453125
359,2565.3837890625
361,2670.169189453125
363,2560.94287109375
365,2529.588134765625
373,2398.241455078125
376,2580.513427734375
382,2482.441650390625
387,2420.928955078125
388,2539.390625
392,2428.333251953125
394,2463.024169921875
399,2427.40673828125
406,2523.08740234375
408,2503.3046875
419,2587.267822265625
422,2598.003662109375
425,2631.293701171875
427,2451.7734375
433,2596.5908203125
442,2497.838623046875
451,2522.947021484375
457,2573.203125
458,2450.44384765625
459,2351.203369140625
462,2391.743896484375
472,2533.397705078125
474,2476.31298828125
487,2572.38916015625
491,2436.491455078125
493,2580.638916015625
494,2523.71142578125
499,2505.078857421875
502,2543.2275390625
503,2556.80419921875
504,2446.045654296875
508,2380.463134765625
513,2376.219482421875
524,2691.20263671875
525,2459.42626953125
528,2600.559814453125
531,2621.859130859375
541,2597.08544921875
551,2496.50244140625
553,2547.765625
580,2411.2822265625
583,2479.316162109375
586,2568.5126953125
587,2527.1513671875
598,2704.025390625
602,2441.594970703125
603,2384.00146484375
605,2480.137451171875
612,2582.419921875
613,2342.685791015625
615,2486.92529296875
619,2425.802978515625
626,2456.459228515625
632,2543.875244140625
633,2592.174560546875
638,2551.396484375
649,2416.173095703125
652,2477.66357421875
657,2521.3720703125
661,2627.635498046875
663,2509.29052734375
664,2593.902587890625
667,2493.72705078125
671,2424.4833984375
672,2424.09814453125
677,2456.8759765625
678,2492.373291015625
685,2603.65185546875
689,2520.12890625
697,2352.806640625
699,2582.419921875
700,2412.639892578125
702,2632.94775390625
707,2441.5693359375
708,2556.634521484375
710,2489.17822265625
714,2383.300048828125
720,2417.060302734375
726,2477.935791015625
727,2494.29248046875
728,2478.93505859375
730,2587.893798828125
731,2379.79296875
732,2489.593017578125
734,2455.610107421875
738,2519.867919921875
742,2411.30859375
750,2590.18212890625
751,2599.802734375
752,2510.82177734375
753,2421.621337890625
765,2483.306884765625
766,2741.304931640625
768,2553.621337890625
769,2532.97021484375
773,2500.78271484375
775,2525.844482421875
778,2402.697998046875
779,2394.62451171875
789,2370.791015625
790,2528.0712890625
794,2501.5107421875
803,2512.284423828125
809,2387.37158203125
817,2419.5576171875
820,2388.575439453125
822,2331.612548828125
833,2437.72998046875
836,2559.586669921875
